angle_1,velocity_1 angle_2,velocity_2
-0.46975,0.110481,0.894842,-1.90726
-0.469488,0.0872222,0.897633,-1.77061
-0.469314,0.0872222,0.900511,-1.60489
-0.469168,0.0697778,0.903331,-1.50894
-0.469052,0.0232593,0.906035,-1.46824
-0.468936,0.093037,0.908855,-1.43626
-0.468761,0.0872222,0.911588,-1.44498
-0.468558,0.093037,0.914089,-1.41881
-0.468383,0.110481,0.916735,-1.38683
-0.468151,0.0785,0.919264,-1.34031
-0.467918,0.133741,0.921706,-1.29961
-0.467686,0.125019,0.924061,-1.27635
-0.467395,0.188981,0.926155,-1.25309
-0.467046,0.197704,0.928335,-1.25309
-0.466668,0.206426,0.930457,-1.25309
-0.466174,0.252944,0.932464,-1.26763
-0.465709,0.284926,0.934586,-1.32287
-0.465185,0.252944,0.936679,-1.33159
-0.464575,0.30237,0.938715,-1.25891
-0.463964,0.32563,0.940517,-1.17169
-0.463325,0.32563,0.942174,-1.02922
-0.462656,0.348889,0.943541,-0.901296
-0.461929,0.375056,0.944558,-0.764648
-0.46126,0.375056,0.945402,-0.668704
-0.460446,0.38087,0.945867,-0.590204
-0.459748,0.389593,0.946128,-0.526241
-0.459051,0.430296,0.946361,-0.471
-0.458237,0.462278,0.946506,-0.439019
-0.457335,0.502981,0.946361,-0.421574
-0.456492,0.508796,0.946303,-0.398315
-0.455445,0.534963,0.946041,-0.389593
-0.45437,0.558222,0.94575,-0.407037
-0.453294,0.566944,0.945489,-0.398315
-0.452102,0.534963,0.945111,-0.407037
-0.451142,0.5495,0.944791,-0.398315
-0.450154,0.566944,0.944617,-0.38087
-0.448933,0.590204,0.94418,-0.375056
-0.447741,0.628,0.943715,-0.334352
-0.446578,0.628,0.943192,-0.270389
-0.445211,0.622185,0.942436,-0.238407
-0.443845,0.636722,0.941535,-0.165722
-0.44274,0.613463,0.940779,-0.188981
-0.441432,0.645444,0.939877,-0.183167
-0.439978,0.645444,0.93886,-0.133741
-0.438612,0.659981,0.937755,-0.0872222
-0.437361,0.659981,0.936708,-0.0872222
-0.435937,0.668704,0.935458,-0.0697778
-0.434483,0.686148,0.93415,-0.0465185
-0.433204,0.659981,0.932987,-0.0697778
-0.431866,0.659981,0.931737,-0.110481
-0.430471,0.668704,0.930574,-0.093037
-0.429279,0.659981,0.929556,-0.0785
-0.427941,0.691963,0.928364,-0.0465185
-0.426633,0.700685,0.927172,-0.093037
-0.425412,0.677426,0.926125,-0.110481
-0.424162,0.659981,0.925079,-0.0785
-0.423086,0.645444,0.92409,-0.0232593
-0.421836,0.677426,0.922927,-0.0552407
-0.420586,0.686148,0.921735,-0.0785
-0.419365,0.668704,0.920689,-0.0872222
-0.418114,0.645444,0.919584,-0.0697778
-0.416864,0.622185,0.918421,-0.0552407
-0.415643,0.590204,0.917287,-0.0872222
-0.414422,0.613463,0.916269,-0.110481
-0.41323,0.604741,0.91531,-0.101759
-0.412241,0.604741,0.914467,-0.0872222
-0.411224,0.596019,0.913565,-0.101759
-0.410235,0.572759,0.912722,-0.125019
-0.409305,0.5495,0.912025,-0.119204
-0.4082,0.508796,0.911181,-0.110481
-0.407328,0.558222,0.910542,-0.151185
-0.406252,0.534963,0.909786,-0.215148
-0.405118,0.526241,0.909117,-0.252944
-0.404042,0.517519,0.908507,-0.229685
-0.403112,0.508796,0.907983,-0.197704
-0.402095,0.453556,0.907373,-0.229685
-0.401135,0.453556,0.906849,-0.252944
-0.399943,0.462278,0.906239,-0.220963
-0.399042,0.462278,0.905803,-0.174444
-0.39817,0.453556,0.905279,-0.188981
-0.397326,0.412852,0.904756,-0.174444
-0.39657,0.439019,0.904291,-0.188981
-0.395873,0.407037,0.903913,-0.197704
-0.395204,0.398315,0.903506,-0.188981
-0.394506,0.389593,0.903157,-0.197704
-0.393779,0.398315,0.902837,-0.24713
-0.392965,0.389593,0.902517,-0.229685
-0.392267,0.348889,0.902314,-0.252944
-0.391541,0.316907,0.902052,-0.252944
-0.390901,0.316907,0.901878,-0.279111
-0.390349,0.284926,0.901907,-0.357611
-0.389767,0.284926,0.902023,-0.38087
-0.389157,0.279111,0.902168,-0.38087
-0.388662,0.24713,0.902401,-0.366333
-0.388139,0.229685,0.902546,-0.407037
-0.387703,0.238407,0.902953,-0.444833
-0.387238,0.220963,0.90339,-0.494259
-0.38686,0.220963,0.903826,-0.508796
-0.386453,0.183167,0.904378,-0.534963
-0.38558,0.157,0.905861,-0.572759
-0.385261,0.151185,0.906704,-0.581481
-0.38497,0.133741,0.907518,-0.572759
-0.384737,0.119204,0.908274,-0.508796
-0.384534,0.101759,0.909001,-0.502981
-0.38433,0.110481,0.909611,-0.430296
-0.384156,0.101759,0.910222,-0.366333
-0.383981,0.0872222,0.910658,-0.343074
-0.383836,0.0872222,0.911065,-0.311093
-0.383691,0.0872222,0.911385,-0.261667
-0.383574,0.0785,0.911647,-0.197704
-0.383429,0.093037,0.911879,-0.206426
-0.383284,0.093037,0.912025,-0.188981
