angle_1,angle_1_t,angle_2,angle_2_t
-0.56537,-0.52627,1.84114,1.83402
-0.5657,-0.526619,1.84125,1.83405
-0.56603,-0.526939,1.84136,1.83402
-0.56636,-0.527317,1.84147,1.83405
-0.5667,-0.527637,1.84159,1.83405
-0.56703,-0.527927,1.8417,1.83402
-0.56736,-0.528189,1.84181,1.83396
-0.56769,-0.52848,1.84192,1.83393
-0.56802,-0.528829,1.84204,1.83393
-0.56836,-0.529178,1.84215,1.83393
-0.56869,-0.529527,1.84226,1.83393
-0.56902,-0.529875,1.84237,1.83396
-0.56935,-0.530195,1.84248,1.83393
-0.56968,-0.530544,1.84259,1.83391
-0.57001,-0.530864,1.84271,1.83388
-0.57035,-0.531213,1.84282,1.83388
-0.57068,-0.531533,1.84293,1.83388
-0.57101,-0.531882,1.84304,1.83391
-0.57134,-0.53223,1.84315,1.83393
-0.57167,-0.532579,1.84326,1.83402
-0.57201,-0.532928,1.84337,1.83411
-0.57234,-0.533335,1.84348,1.83428
-0.57267,-0.533742,1.84359,1.83449
-0.573,-0.53412,1.8437,1.83469
-0.57333,-0.534498,1.84381,1.83489
-0.57366,-0.534789,1.84392,1.83504
-0.574,-0.53508,1.84403,1.83516
-0.57433,-0.53537,1.84414,1.83536
-0.57466,-0.53569,1.84425,1.8355
-0.57499,-0.53601,1.84436,1.83574
-0.57532,-0.536388,1.84447,1.83597
-0.57566,-0.536911,1.84457,1.83635
-0.57599,-0.537347,1.84468,1.83667
-0.57632,-0.537754,1.84479,1.83693
-0.57665,-0.538132,1.8449,1.83719
-0.57698,-0.538365,1.84501,1.83737
-0.57731,-0.538656,1.84512,1.83757
-0.57765,-0.538976,1.84523,1.8378
-0.57798,-0.539324,1.84533,1.83812
-0.57831,-0.539644,1.84544,1.83838
-0.57864,-0.539964,1.84555,1.83864
-0.57897,-0.540284,1.84566,1.83894
-0.5793,-0.540546,1.84576,1.83917
-0.57963,-0.540807,1.84587,1.83943
-0.57997,-0.541127,1.84598,1.83972
-0.5803,-0.541389,1.84608,1.83998
-0.58063,-0.541709,1.84619,1.8403
-0.58096,-0.54197,1.8463,1.84056
-0.58129,-0.542261,1.84641,1.84085
-0.58162,-0.542581,1.84651,1.84117
-0.58196,-0.542872,1.84662,1.84146
-0.58229,-0.543191,1.84672,1.84176
-0.58262,-0.543511,1.84683,1.84205
-0.58295,-0.543802,1.84694,1.84234
-0.58328,-0.544122,1.84704,1.84266
-0.58361,-0.544412,1.84715,1.84295
-0.58394,-0.544703,1.84725,1.84324
-0.58428,-0.544994,1.84736,1.84353
-0.58461,-0.545314,1.84746,1.84385
-0.58494,-0.545663,1.84757,1.8442
-0.58527,-0.545982,1.84767,1.84452
-0.5856,-0.546273,1.84778,1.84481
-0.58593,-0.546564,1.84788,1.8451
-0.58626,-0.546855,1.84799,1.84539
-0.58659,-0.547174,1.84809,1.84571
-0.58693,-0.547494,1.8482,1.84603
-0.58726,-0.547814,1.8483,1.84635
-0.58759,-0.548134,1.8484,1.84667
-0.58792,-0.548454,1.84851,1.84699
-0.58825,-0.548774,1.84861,1.84731
-0.58858,-0.549064,1.84872,1.8476
-0.58891,-0.549384,1.84882,1.84792
-0.58924,-0.549704,1.84892,1.84821
-0.58958,-0.549995,1.84903,1.8485
-0.58991,-0.550285,1.84913,1.84879
-0.59024,-0.550605,1.84923,1.84911
-0.59057,-0.550954,1.84933,1.84943
-0.5909,-0.551332,1.84944,1.84981
-0.59123,-0.551652,1.84954,1.85013
-0.59156,-0.551972,1.84964,1.85045
-0.59189,-0.552204,1.84974,1.85065
-0.59222,-0.552495,1.84985,1.85094
-0.59256,-0.552757,1.84995,1.8512
-0.59289,-0.553047,1.85005,1.85147
-0.59322,-0.553396,1.85015,1.85181
-0.59355,-0.553745,1.85025,1.85216
-0.59388,-0.554094,1.85035,1.85248
-0.59421,-0.554414,1.85046,1.8528
-0.59454,-0.554676,1.85056,1.85304
-0.59487,-0.554966,1.85066,1.85333
-0.5952,-0.555286,1.85076,1.85365
-0.59553,-0.555606,1.85086,1.85394
-0.59587,-0.555897,1.85096,1.85423
-0.5962,-0.556246,1.85106,1.85455
-0.59653,-0.556565,1.85116,1.85484
-0.59686,-0.556885,1.85126,1.85516
-0.59719,-0.557176,1.85136,1.85539
-0.59752,-0.557438,1.85146,1.85562
-0.59785,-0.557728,1.85156,1.85589
-0.59818,-0.55799,1.85166,1.85612
-0.59851,-0.558281,1.85176,1.85638
-0.59884,-0.558572,1.85186,1.85661
-0.59917,-0.558862,1.85196,1.85684
-0.5995,-0.559153,1.85206,1.85708
-0.59983,-0.559444,1.85216,1.85731
-0.60017,-0.559734,1.85226,1.85754
-0.6005,-0.560025,1.85235,1.85775
-0.60083,-0.560316,1.85245,1.85798
-0.60116,-0.560607,1.85255,1.85818
-0.60149,-0.560927,1.85265,1.85841
-0.60182,-0.561217,1.85275,1.85862
-0.60215,-0.561479,1.85285,1.85879
-0.60248,-0.561741,1.85294,1.85897
-0.60281,-0.56206,1.85304,1.8592
-0.60314,-0.562351,1.85314,1.85937
-0.60347,-0.562671,1.85324,1.85958
-0.6038,-0.563049,1.85333,1.85981
-0.60413,-0.563369,1.85343,1.85998
-0.60446,-0.563689,1.85353,1.86016
-0.60479,-0.563979,1.85363,1.8603
-0.60512,-0.56427,1.85372,1.86042
-0.60545,-0.56459,1.85382,1.86054
-0.60578,-0.564881,1.85392,1.86065
-0.60612,-0.5652,1.85401,1.86077
-0.60645,-0.565549,1.85411,1.86089
-0.60678,-0.565898,1.8542,1.861
-0.60711,-0.566218,1.8543,1.86109
-0.60744,-0.56648,1.8544,1.86109
-0.60777,-0.56677,1.85449,1.86112
-0.6081,-0.567061,1.85459,1.86112
-0.60843,-0.567352,1.85468,1.86109
-0.60876,-0.567672,1.85478,1.86109
-0.60909,-0.56805,1.85487,1.86112
-0.60942,-0.568369,1.85497,1.86112
-0.60975,-0.568718,1.85506,1.86109
-0.61008,-0.569038,1.85516,1.86106
-0.61041,-0.569358,1.85525,1.861
-0.61074,-0.56962,1.85535,1.86086
-0.61107,-0.569939,1.85544,1.86077
-0.6114,-0.57023,1.85554,1.86062
-0.61173,-0.570608,1.85563,1.86054
-0.61206,-0.570957,1.85572,1.86048
-0.61239,-0.571393,1.85582,1.86042
-0.61272,-0.5718,1.85591,1.86036
-0.61305,-0.572149,1.856,1.86025
-0.61338,-0.572498,1.8561,1.8601
-0.61371,-0.572818,1.85619,1.85993
-0.61404,-0.573138,1.85628,1.85975
-0.61437,-0.573457,1.85638,1.85955
-0.6147,-0.573835,1.85647,1.85935
-0.61503,-0.574272,1.85656,1.85917
-0.61536,-0.574679,1.85666,1.85903
-0.61569,-0.575115,1.85675,1.85882
-0.61602,-0.575522,1.85684,1.85862
-0.61635,-0.575958,1.85693,1.85844
-0.61668,-0.576307,1.85702,1.85824
-0.61701,-0.576685,1.85712,1.85804
-0.61734,-0.577034,1.85721,1.85786
-0.61767,-0.577382,1.8573,1.85769
-0.618,-0.57776,1.85739,1.85751
-0.61833,-0.578138,1.85748,1.85743
-0.61866,-0.578545,1.85757,1.85734
-0.61899,-0.578923,1.85766,1.85722
-0.61932,-0.579389,1.85776,1.85716
-0.61965,-0.579767,1.85785,1.85711
-0.61998,-0.580261,1.85794,1.85708
-0.62031,-0.580726,1.85803,1.85708
-0.62064,-0.581278,1.85812,1.85711
-0.62097,-0.581714,1.85821,1.85714
-0.6213,-0.582151,1.8583,1.85716
-0.62163,-0.582499,1.85839,1.85719
-0.62196,-0.582877,1.85848,1.85719
