torque_1,torque_2
-0.194438,-0.948429
-0.187445,-0.940907
-0.175945,-0.936883
-0.174098,-0.931105
-0.146462,-0.926199
-0.140922,-0.921594
-0.120759,-0.91756
-0.114202,-0.913536
-0.0941844,-0.910375
-0.0761428,-0.905479
-0.0720567,-0.899701
-0.0638141,-0.896831
-0.0412659,-0.889609
-0.0281669,-0.882086
-0.0154178,-0.880679
-0.0023187,-0.869959
0.0200841,-0.861564
0.036322,-0.854342
0.0527646,-0.850309
0.0607165,-0.842214
0.078322,-0.836436
0.0879322,-0.828042
0.115073,-0.822564
0.124392,-0.817659
0.144905,-0.809564
0.165214,-0.800879
0.183837,-0.799462
0.198621,-0.79631
0.209249,-0.792859
0.219586,-0.782729
0.230881,-0.775207
0.23802,-0.771755
0.257311,-0.76337
0.266921,-0.75294
0.284091,-0.744255
0.302364,-0.738777
0.322004,-0.714101
0.33737,-0.697284
0.359046,-0.677551
0.373744,-0.666831
0.382714,-0.650305
0.388835,-0.635223
0.401148,-0.623631
0.421225,-0.607686
0.43848,-0.602199
0.451579,-0.597003
0.462207,-0.594433
0.48048,-0.591853
0.487183,-0.596833
0.505456,-0.602984
0.513031,-0.608546
0.527584,-0.618177
0.534809,-0.624329
0.541076,-0.627273
0.545829,-0.633416
0.553114,-0.638986
0.561792,-0.636697
0.566896,-0.641968
0.568742,-0.639107
0.576317,-0.639434
0.584329,-0.635692
0.588501,-0.633703
0.589679,-0.631705
0.593852,-0.63116
0.604334,-0.62829
0.599639,-0.628918
0.598637,-0.629536
0.599756,-0.62841
0.603697,-0.629038
0.603944,-0.630238
0.594075,-0.63231
0.597956,-0.632638
0.593029,-0.63094
0.580107,-0.629523
0.573667,-0.632468
0.574991,-0.63077
0.568988,-0.631097
0.556502,-0.627646
0.550643,-0.629718
0.546443,-0.631218
0.542911,-0.63329
0.538711,-0.63449
0.534161,-0.63569
0.529961,-0.63719
0.525411,-0.63839
0.521211,-0.63959
0.516661,-0.64079
0.511443,-0.641418
0.506893,-0.642618
0.501676,-0.642946
0.48099,-0.643273
0.490891,-0.643901
