angle_1 angle_2
-0.90874 2.0979
-0.908478 2.09851
-0.908187 2.09909
-0.907955 2.09967
-0.907751 2.10022
-0.907548 2.10075
-0.907344 2.10121
-0.907199 2.10162
-0.907082 2.102
-0.906937 2.10229
-0.906821 2.10249
-0.906704 2.10267
-0.906646 2.10281
-0.906588 2.1029
-0.906559 2.10302
-0.90653 2.10304
-0.90653 2.10313
-0.90653 2.10319
-0.90653 2.10322
-0.90653 2.10328
-0.906588 2.10339
-0.906617 2.10345
-0.906675 2.1036
-0.906763 2.10374
-0.906879 2.10389
-0.907024 2.10412
-0.90717 2.10429
-0.907344 2.10447
-0.907518 2.10464
-0.907722 2.10485
-0.907896 2.10502
-0.908071 2.1052
-0.908274 2.1054
-0.908449 2.10555
-0.908623 2.10569
-0.908856 2.10584
-0.90903 2.10595
-0.909205 2.10607
-0.90935 2.10613
-0.909525 2.10621
-0.90967 2.10627
-0.909786 2.10627
-0.909932 2.10633
-0.910048 2.10636
-0.910164 2.10642
-0.910251 2.10642
-0.910339 2.10645
-0.910397 2.10645
-0.910484 2.1065
-0.910513 2.10653
-0.910542 2.10656
-0.910571 2.10659
-0.910571 2.10659
-0.910571 2.10659
-0.910571 2.10659
-0.910571 2.10659
-0.910571 2.10659
-0.910571 2.10659
-0.910571 2.10659
-0.910542 2.10656
-0.910542 2.10656
-0.910513 2.10656
-0.910484 2.10653
-0.910397 2.10648
-0.910368 2.10645
-0.91031 2.10642
-0.910222 2.10636
-0.910193 2.10633
-0.910164 2.10633
-0.910135 2.1063
-0.910106 2.1063
-0.910077 2.10627
-0.910077 2.10627
-0.910048 2.10624
-0.910019 2.10624
-0.910019 2.10627
-0.910019 2.10627
-0.90999 2.10624
-0.90999 2.10624
-0.90999 2.10624
-0.90999 2.10624
-0.90999 2.10624
-0.90999 2.10624
-0.90999 2.10624
-0.90999 2.10624
-0.90999 2.10624
-0.90999 2.10624
-0.90999 2.10624
-0.90999 2.10624
-0.90999 2.10624
-0.90999 2.10624
-0.90999 2.10624
-0.90999 2.10624
-0.909932 2.10618
-0.909932 2.10618
-0.909903 2.10616
-0.909873 2.10613
-0.909844 2.1061
-0.909786 2.10607
-0.909786 2.10607
-0.909757 2.10607
-0.909728 2.10604
-0.909699 2.10604
-0.90967 2.10601
-0.909612 2.10598
-0.909583 2.10598
-0.909554 2.10595
-0.909525 2.10595
-0.909466 2.10592
-0.909437 2.10589
-0.909408 2.10589
-0.90935 2.10586
-0.909292 2.10584
-0.909263 2.10586
-0.909234 2.10584
-0.909234 2.10586
-0.909205 2.10586
-0.909176 2.10586
